OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total population, 2021","# Total population, 2021 (MOE)","# Area, square miles, 2021","Population density (people per square mile), 2021",Shape__Area,Shape__Length
1259,Atlanta Regional Commission,Yes,13121003500,2271,Tract,2020,"Census Tract 35, Fulton County",2801,1172,0.539203,5194.7,15024261.5493164,26473.3230193873
1260,Atlanta Regional Commission,Yes,13121003800,2274,Tract,2020,"Census Tract 38, Fulton County",4551,920,0.322411,14115.5,8983642.96826172,16798.8974732561
1261,Atlanta Regional Commission,Yes,13121007807,2324,Tract,2020,"Census Tract 78.07, Fulton County",4325,2646,1.119582,3863,31196195.045166,25784.5844903406
1262,Atlanta Regional Commission,Yes,13121007808,2325,Tract,2020,"Census Tract 78.08, Fulton County",3351,572,0.629901,5319.9,17551635.5632324,26173.0888377304
1263,Atlanta Regional Commission,Yes,13121007900,2328,Tract,2020,"Census Tract 79, Fulton County",5043,702,3.264456,1544.8,90960662.1342773,41088.9322576704
1264,Atlanta Regional Commission,Yes,13121008000,2329,Tract,2020,"Census Tract 80, Fulton County",5358,1052,2.283551,2346.3,63628341.064209,48643.0404516213
1265,Southwest Georgia,No,13273120300,3577,Tract,2020,"Census Tract 1203, Terrell County",3315,362,23.751921,139.6,661548487.465088,123255.448754384
1266,Southwest Georgia,No,13273120400,3578,Tract,2020,"Census Tract 1204, Terrell County",2621,303,92.706329,28.3,2582052589.65308,252160.422179962
1267,River Valley,No,13269950200,3568,Tract,2020,"Census Tract 9502, Taylor County",2195,274,57.617428,38.1,1605004287.45679,293245.550220794
1268,River Valley,No,13269950100,3567,Tract,2020,"Census Tract 9501, Taylor County",925,157,104.2533,8.9,2904187943.11707,330334.563730017
1269,Southwest Georgia,No,13273120500,3579,Tract,2020,"Census Tract 1205, Terrell County",1516,195,64.931046,23.3,1808411966.65515,230203.944644997
1270,Southwest Georgia,No,13273120200,3576,Tract,2020,"Census Tract 1202, Terrell County",1650,221,156.56844,10.5,4360856728.69312,424342.140564238
1271,Southwest Georgia,No,13205090200,3210,Tract,2020,"Census Tract 902, Mitchell County",3314,456,122.89188,27,3422389204.63257,313745.875791793
1272,Southwest Georgia,No,13205090300,3211,Tract,2020,"Census Tract 903, Mitchell County",2840,395,53.586063,53,1492314765.38123,202726.461466467
1273,Southwest Georgia,No,13205090100,3209,Tract,2020,"Census Tract 901, Mitchell County",3848,491,86.598656,44.4,2411723594.789,252810.542839981
1274,Atlanta Regional Commission,Yes,13121004000,2276,Tract,2020,"Census Tract 40, Fulton County",2498,497,0.621878,4016.9,17327918.2807617,17763.5266851253
1275,Atlanta Regional Commission,Yes,13121004100,2277,Tract,2020,"Census Tract 41, Fulton County",2289,424,0.486691,4703.2,13561024.2563477,16278.2035369198
